Business Unit,Lines of Business,Revenue (Last Full Fiscal Year in $B)
Corporate & Institutional Banking,Global Markets,8.4
Corporate & Institutional Banking,Corporate Banking,6.2
Corporate & Institutional Banking,Securities Services,2.9
Domestic Markets,French Retail Banking,7.1
Domestic Markets,Belgian Retail Banking,3.5
Domestic Markets,Italian Retail Banking,2.8
Domestic Markets,Luxembourg Retail Banking,1.1
Domestic Markets,Arval,1.9
Domestic Markets,BNP Paribas Personal Finance,4.2
Domestic Markets,BNP Paribas Leasing Solutions,1.5
International Financial Services,BNP Paribas Cardif,3.7
International Financial Services,BNP Paribas Wealth Management,2.6
International Financial Services,BNP Paribas Asset Management,2.3
