Business Unit,Lines of Business,Revenue_Last_Fiscal_Year
Corporate and Institutional Banking,Global Markets,8.5
Corporate and Institutional Banking,Corporate Banking,6.2
Corporate and Institutional Banking,Securities Services,3.1
Domestic Markets,French Retail Banking,5.4
Domestic Markets,BNL (Italian Retail Banking),3.8
Domestic Markets,Belgian Retail Banking,4.0
Domestic Markets,Luxembourg Retail Banking,1.2
International Financial Services,Personal Finance,4.7
International Financial Services,Insurance,3.5
International Financial Services,Wealth and Asset Management,2.9
