Business Unit,Lines of Business,Revenue_Last_FY_$B
Retail Banking,Personal Loans,4.5
Retail Banking,Mortgages,6.2
Retail Banking,Deposit Accounts,3.8
Asset Management,Mutual Funds,2.7
Asset Management,Portfolio Management,1.9
Insurance,Life Insurance,3.3
Insurance,Non-Life Insurance,2.1
Corporate and Investment Banking,Advisory Services,1.8
Corporate and Investment Banking,Capital Markets,4.0
Corporate and Investment Banking,Transaction Banking,2.5
Specialized Financial Services,Consumer Finance,3.0
Specialized Financial Services,Leasing,1.6
