Business Unit,Lines of Business,Revenue (Last Full Fiscal Year in $B)
Wealth and Personal Banking,Retail Banking,15.2
Wealth and Personal Banking,Wealth Management,7.8
Wealth and Personal Banking,Insurance,3.5
Commercial Banking,Business Banking,9.4
Commercial Banking,Global Trade and Receivables Finance,5.6
Commercial Banking,Credit and Lending,4.7
Global Banking and Markets,Global Markets,12.1
Global Banking and Markets,Banking,8.3
Global Banking and Markets,Securities Services,3.9
Global Private Banking,Private Banking,2.1
Global Private Banking,Investment Management,1.4
