Business Unit,Lines of Business,Revenue_Last_Fiscal_Year_B
Personal & Commercial Banking,Personal Banking,12.5
Personal & Commercial Banking,Business Banking,5.8
Personal & Commercial Banking,Credit Cards,3.2
Wealth Management,Global Asset Management,4.1
Wealth Management,Direct Investing,2.3
Wealth Management,Private Banking,2.7
Insurance,Life and Health Insurance,1.9
Insurance,Property and Casualty Insurance,1.4
Investor & Treasury Services,Asset Servicing,1.1
Investor & Treasury Services,Transaction Banking,0.9
Capital Markets,Corporate and Investment Banking,6.5
Capital Markets,Global Markets,5.6
