Business Unit,Lines of Business,Revenue (Last Full Fiscal Year in $B)
Retail Banking,Deposits,15.2
Retail Banking,Mortgages,10.5
Retail Banking,Personal Loans,8.3
Corporate and Investment Banking,Advisory Services,5.7
Corporate and Investment Banking,Financing,9.1
Corporate and Investment Banking,Risk Management,6.4
Wealth Management and Insurance,Investment Solutions,4.8
Wealth Management and Insurance,Insurance Products,3.2
Consumer Finance,Auto Loans,7.6
Consumer Finance,Credit Cards,5.9
Consumer Finance,Personal Finance,4.5
