Business Unit,Lines of Business,Revenue (Last Full Fiscal Year in $B)
Retail Banking,Mortgages,12.5
Retail Banking,Personal Loans,8.3
Retail Banking,Credit Cards,6.7
Corporate & Investment Banking,Advisory,5.2
Corporate & Investment Banking,Underwriting,4.8
Corporate & Investment Banking,Trading,7.1
Wealth Management & Insurance,Asset Management,3.4
Wealth Management & Insurance,Private Banking,2.9
Wealth Management & Insurance,Life Insurance,1.8
Consumer Finance,Auto Financing,4.5
Consumer Finance,Consumer Loans,3.7
Consumer Finance,Point-of-Sale Financing,2.6
