Business Unit,Lines of Business,Revenue (Last Full Fiscal Year in $B)
Canadian Retail,Personal Banking,15.2
Canadian Retail,Credit Cards,3.8
Canadian Retail,Auto Finance,2.5
Canadian Retail,Small Business Banking,1.9
U.S. Retail,Personal Banking,10.5
U.S. Retail,Commercial Banking,5.4
U.S. Retail,Credit Cards,2.7
Wholesale Banking,Investment Banking,4.6
Wholesale Banking,Capital Markets,3.9
Wholesale Banking,Global Transaction Services,2.2
Wealth Management,Investment Advice,3.1
Wealth Management,Asset Management,2.6
Wealth Management,Financial Planning,1.8
