Business Unit,Lines of Business,Revenue_LastFullFiscalYear_B
Wealth Management,Advisory & Transaction Services,8.5
Wealth Management,Net Interest Income,5.2
Wealth Management,Lending Services,3.1
Investment Bank,Advisory & Capital Markets,4.7
Investment Bank,Financing Solutions,3.9
Investment Bank,Trading & Sales,6.3
Asset Management,Management Fees,2.8
Asset Management,Performance Fees,1.4
Personal & Corporate Banking,Lending,2.6
Personal & Corporate Banking,Transaction Services,1.9
Personal & Corporate Banking,Deposit Services,1.5
