enterprise,name,domain,industry,include_word,include_ppt,include_json,s3_prefix,Account,Snowflake Data,"Enterprise Type (private, public, or government)",Enterprise (normalized),BMC Global Parent ID,EDGAR API Account ID,Industry,Sector,2024 Revenue,,Copilot 2024 Revenue,Reporting currency,"Revenue (reporting currency, millions)",FX rate used (USD per 1 unit),"Revenue (USD, FY2024 avg FX, millions)",Number of Employees,Number of Employees,Revenue Reporting Operating Unit 1 ,Revenue Reporting Operating Unit 1 .1,Revenue Reporting Operating Unit 2,Revenue Reporting Operating Unit 3,Revenue Reporting Operating Unit 4,Revenue Reporting Operating Unit 5,Revenue Reporting Operating Unit 6,Revenue Reporting Operating Unit 7,Revenue Reporting Operating Unit 8,Revenue Reporting Operating Unit 9 ,Revenue Reporting Operating Unit 10,2024 FY Revenue Operating Unit 1 ,2024 FY Revenue Operating Unit 2,2024 FY Revenue Operating Unit 3,2024 FY Revenue Operating Unit 4,2024 FY Revenue Operating Unit 5,2024 FY Revenue Operating Unit 6,2024 FY Revenue Operating Unit 7,2024 FY Revenue Operating Unit 8,2024 FY Revenue Operating Unit 9,2024 FY Revenue Operating Unit 10,Notes
Airbus,Airbus,airbus.com,Aerospace & Defense,,,1,Airbus,Airbus,Yes,Public,Airbus,,1697546,Aerospace & Defense,Industrials,,,"EUR €69,230m",EUR,69230,1.08,74768.4,156921,146000,Commercial Aircraft,Helicopters,Defence & Space,,,,,,,,,,,,,,,,,,,nanEmployee count is an estimate pending confirmation.
American Express,American Express,americanexpress.com ,Consumer Finance,,,1,Amex,American Express,Yes,Public,American Express,,4962,Consumer Finance,Financials,,,"USD $66,000m",USD,66000,1,66000,77300,77300,U.S. Consumer Services,Commercial Services,International Card Services,Global Merchant & Network Services,Corporate & Other,,,,,,,,,,,,,,,,,nanEmployee count is an estimate pending confirmation.
AT&T,AT&T,att.com,Telecom Services,,,1,ATT,AT&T,Yes,Public,AT&T,,732717,Telecom Services,Communication Services,,,"USD $122,336m",USD,122336,1,122336,149900,149900,Mobility,Business Wireline,Consumer Wireline,Mexico,Corporate & Other,,,,,,,,,,,,,,,,,nanEmployee count is an estimate pending confirmation.
BNP Paribas,BNP Paribas,group.bnpparibas.com,Diversified Banks,,,1,BNP,BNP Paribas,Yes,Public,BNP Paribas,,872786,Diversified Banks,Financials,"EUR 48,831m (revenues)",,"EUR €48,831m",EUR,48831,1.08,52737.5,177952,177952,CIB (Corporate & Institutional Banking),"CPBS (Commercial, Personal Banking & Services)",IPS (Investment & Protection Services),,,,,,,,,,,,,,,,,,,Revenue shown with currency per source; not converted.
Cigna Corporation / Evernorth,Cigna Corporation / Evernorth,cigna.com,Managed Health Care,,,1,Cigna,Cigna Corporation / Evernorth,Yes,Public,Cigna Group (incl. Evernorth),,1739940,Managed Health Care,Health Care,,,"USD $247,121m",USD,247121,1,247121,73000,73000,Cigna Healthcare,Evernorth Health Services,Corporate / Other,,,,,,,,,47528,189361,440,,,,,,,,nanEmployee count is an estimate pending confirmation.
CitiGroup,CitiGroup,citigroup.com,Diversified Banks,,,1,Citi,CitiGroup,Yes,Public,Citigroup,,831001,Diversified Banks,Financials,,,"USD $81,139m",USD,81139,1,81139,239000,239000,Institutional Clients Group (ICG),Personal Banking & Wealth Mgmt (PBWM),Corporate/Other,,,,,,,,,,,,,,,,,,,nanEmployee count is an estimate pending confirmation.
Credit Agricole,Credit Agricole,credit-agricole.com,Diversified Banks,,,1,Agricole,Credit Agricole,Yes,Private (cooperative group / listed sub),Cr√©dit Agricole,,1444002,Diversified Banks,Financials,"EUR 37,967m (underlying revenues)",,41080,,,,,,80500,Regional Banks,LCL,CA Consumer Finance,CACEIS (Asset Servicing),Amundi (Asset Mgmt),Cr√©dit Agricole Assurances,Cr√©dit Agricole CIB,Leasing & Factoring,,,,,,,,,,,,,,Revenue shown with currency per source; not converted.; Employee count is an estimate pending confirmation.
Desjardins,Desjardins,desjardins.com ,Cooperative Banking,,,1,Desjardins,Desjardins,Yes,Private (cooperative),Desjardins,,N/A (non-registrant),Cooperative Banking,Financials,,,N/A (cooperative total income not comparable),,,,,58000,58000,Personal Services,Business Services,Wealth Mgmt & Life/Health Insurance,Property & Casualty Insurance,Other,,,,,,,,,,,,,,,,,nanEmployee count is an estimate pending confirmation.
Deutsche Bank,Deutsche Bank,db.com,Investment Banking & Brokerage,,,1,DeutscheBank,Deutsche Bank,Yes,Public,Deutsche Bank,,1159508,Investment Banking & Brokerage,Financials,,,"EUR €30,100m",EUR,30100,1.08,32508,91500,91500,Corporate Bank,Investment Bank,Private Bank,Asset Management (DWS),Capital Release Unit,,,,,,,,,,,,,,,,,nanEmployee count is an estimate pending confirmation.
Deutsche Telekom,Deutsche Telekom,telekom.com,Telecom Services,,,1,DeutscheTelekom,Deutsche Telekom,No,Public,Deutsche Telekom,,946770,Telecom Services,Communication Services,,,"EUR €115,769m",EUR,115769,1.08,125030.5,198194,198194,Germany,United States (T-Mobile US),Europe,Systems Solutions (T-Systems),Group Development,GHS (HQ & Shared Services),,,,,,,,,,,,,,,,
DTCC (The Depository Trust & Clearing Corporation,DTCC (The Depository Trust & Clearing Corporation,dtcc.com,Market Infrastructure & Clearing,,,1,DTCC,DTCC (The Depository Trust & Clearing Corporation,Yes,Private (industry utility),DTCC (The Depository Trust & Clearing Corporation,,N/A (non-registrant),Market Infrastructure & Clearing,Financials,"USD 2,486m (total revenues)",,"USD $2,486m",USD,2486,1,2486,6700,6700,Clearing Services,Settlement & Asset Services,Matching Services,Repository & Derivatives Services,Wealth Management Services,Data & Other Services,,,,,,,,,,,,,,,,Revenue shown with currency per source; not converted.; DTCC employee count is an estimate pending confirmation.
Elevance Health,Elevance Health,elevancehealth.com,Managed Health Care,,,1,Elevance,Elevance Health,Yes,Public,Elevance Health,,1156039,Managed Health Care,Health Care,,,"USD $171,000m",USD,171000,1,171000,102300,102300,Health Benefits,Carelon (Health Services incl. Rx),Corporate & Other,,,,,,,,,,,,,,,,,,,nanEmployee count is an estimate pending confirmation.
Fidelity National Information Services,Fidelity National Information Services,fisglobal.com,Data Processing & Outsourced Services,,,1,FIS,Fidelity National Information Services,Yes,Public,FIS (Fidelity National Information Services),,1136893,Data Processing & Outsourced Services,Information Technology,,,"USD $10,127m",USD,10127,1,10127,65000,65000,Banking Solutions,Capital Market Solutions,Corporate & Other,,,,,,,,,6892,2979,256,,,,,,,,Duplicate of FIS; same parent entity.; Employee count is an estimate pending confirmation.
Ford,Ford,ford.com,Automobile Manufacturers,,,1,Ford,Ford,Yes,Public,Ford,,37996,Automobile Manufacturers,Consumer Discretionary,,,"USD $184,992m",USD,184992,1,184992,176000,176000,Ford Blue,Ford Model e,Ford Pro,Ford Credit,Other & Eliminations,,,,,,,,,,,,,,,,,nanEmployee count is an estimate pending confirmation.
HSBC,HSBC,hsbc.com,Diversified Banks,,,1,HSBC,HSBC,Yes,Public,HSBC,,1089113,Diversified Banks,Financials,"USD 65,854m (reported revenue)",,"USD $65,854m",USD,65854,1,65854,211304,211304,Wealth & Personal Banking,Commercial Banking,Global Banking & Markets,Corporate Centre,,,,,,,,,,,,,,,,,,Revenue shown with currency per source; not converted.
Lloyds,Lloyds,lloydsbank.com,Diversified Banks,,,1,Lloyds,Lloyds,Yes,Public,Lloyds,,1160106,Diversified Banks,Financials,,,"GBP £17,071m",GBP,17071,1.27,21680.2,58000,58000,Retail,Commercial Banking,"Insurance, Pensions & Investments",Group Centre,,,,,,,,,,,,,,,,,,nanEmployee count is an estimate pending confirmation.
Mastercard,Mastercard,mastercard.com,Transaction Processing,,,1,Mastercard,Mastercard,Yes,Public,Mastercard,,1141391,Transaction Processing,Financials,,,"USD $28,167m",USD,28167,1,28167,35400,35400,Payment Network (Domestic Assessments),Cross-border,Transaction Processing,Other Revenues,,,,,,,,,,,,,,,,,,nanEmployee count is an estimate pending confirmation.
Royal Bank of Canada,Royal Bank of Canada,rbc.com,Diversified Banks,,,1,RBC,Royal Bank of Canada,Yes,Public,Royal Bank of Canada,,1000275,Diversified Banks,Financials,,,"CAD $57,344m",CAD,57344,0.74,42434.6,94838,94275,Personal & Commercial Banking,Wealth Management,Insurance,Investor & Treasury Services,Capital Markets,Corporate Support,,,,,,,,,,,,,,,,nanEmployee count is an estimate pending confirmation.
Santander,Santander,santander.com,Diversified Banks,,,1,Santander,Santander,Yes,Public,Santander,,891478,Diversified Banks,Financials,,,,,,,,,212000,Retail & Commercial,Consumer (SCF),Corporate & Investment Banking,Wealth Mgmt & Insurance,Payments (PagoNxt),,,,,,,,,,,,,,,,,nanEmployee count is an estimate pending confirmation.
State of Texas,State of Texas,texas.gov,State Government,,,1,Texas,State of Texas,Yes,Government,State of Texas,,N/A (government),State Government,Government,,,N/A (government; consolidated 'total revenues' not comparable),,,,,N/A (government),N/A (government),,,,,,,,,,,,,,,,,,,,,,Government entity; corporate revenue/employee metrics not directly comparable.; State government workforce not directly comparable to corporate headcount.
Toronto Dominion Bank (TDBAnk),Toronto Dominion Bank (TDBAnk),td.com,Diversified Banks,,,1,TDBAnk,Toronto Dominion Bank (TDBAnk),Yes,Public,Toronto-Dominion Bank (TD),,947263,Diversified Banks,Financials,,,"CAD $57,223m",CAD,57223,0.74,42345,101758,104000,Canadian Personal & Commercial,U.S. Retail,Wholesale Banking,Corporate,,,,,,,,,,,,,,,,,,nanEmployee count is an estimate pending confirmation.
UBS,UBS,ubs.com,Investment Banking & Brokerage,,,1,UBS,UBS,Yes,Public,UBS,,1610520,Investment Banking & Brokerage,Financials,,,"USD $41,779m",USD,41779,1,41779,"110,323 headcount (~108,648 FTE)",110323,Global Wealth Management,Investment Bank,Asset Management,Personal & Corporate Banking (CH),Non-core & Legacy / Group Functions,,,,,,,,,,,,,,,,,"UBS employee count is headcount (110,323); ~108,648 FTE per source."
United Health Group,United Health Group,unitedhealthgroup.com,Managed Health Care,,,1,UHG,United Health Group,Yes,Public,UnitedHealth Group,,731766,Managed Health Care,Health Care,,,"USD $400,278m",USD,400278,1,400278,440000,440000,UnitedHealthcare,Optum Health,Optum Insight,Optum Rx,,,,,,,,298200,105400,18800,128800,,,,,,,nanEmployee count is an estimate pending confirmation.
US Bancorp,US Bancorp,usbank.com,Regional Banks,,,1,USBancorp,US Bancorp,Yes,Public,U.S. Bancorp,,36104,Regional Banks,Financials,,,"USD $27,455m",USD,27455,1,27455,77000,77000,Consumer & Business Banking,Corporate & Commercial Banking,Payment Services,Wealth Mgmt & Investment Services,Treasury & Corporate Support,,,,,,,,,,,,,,,,,nanEmployee count is an estimate pending confirmation.
Verizon,Verizon,verizon.com,Telecom Services,,,1,Verizon,Verizon,Yes,Public,Verizon,,732712,Telecom Services,Communication Services,,,"USD $134,788m",USD,134788,1,134788,103900,103900,Consumer,Business,Corporate & Other,,,,,,,,,102900,29530,,,,,,,,,nanEmployee count is an estimate pending confirmation.
